briefing_date,ticker,source,verdict,conviction,score,horizon_days,entry_date,entry_price,exit_date,exit_price,fwd_return_pct,bench_return_pct,excess_pct,outcome,correct,sub_valuation,sub_quality,sub_momentum,sub_risk
2026-06-08,DSCW,w1,WEEKLY_BUY,weekly,10.66,21,2026-06-08,1.82,2026-07-08,1.78,-2.2,4.09,-6.29,graded,False,,,,
2026-06-09,ASCM,v8b,HOLD,medium,58.1,5,2026-06-09,54.95,2026-06-16,58.73,6.88,2.06,4.82,graded,,50.0,75.0,57.0,50.0
2026-06-09,ASCM,v8b,HOLD,medium,58.1,21,2026-06-09,54.95,2026-07-11,62.21,13.21,7.38,5.83,graded,,50.0,75.0,57.0,50.0
2026-06-09,EAST,v8b,HOLD,medium,54.2,5,2026-06-09,38.6,2026-06-16,39.0,1.04,2.06,-1.02,graded,,40.0,80.0,47.0,55.0
2026-06-09,EAST,v8b,HOLD,medium,54.2,21,2026-06-09,38.6,2026-07-11,36.64,-5.08,7.38,-12.46,graded,,40.0,80.0,47.0,55.0
2026-06-09,JUFO,v8b,HOLD,medium,59.0,5,2026-06-09,29.49,2026-06-16,30.8,4.44,2.06,2.38,graded,,50.0,75.0,57.0,55.0
2026-06-09,JUFO,v8b,HOLD,medium,59.0,21,2026-06-09,29.49,2026-07-11,30.55,3.59,7.38,-3.79,graded,,50.0,75.0,57.0,55.0
2026-06-09,EXPA,v8b,HOLD,medium,60.8,5,2026-06-09,18.63,2026-06-16,18.66,0.16,2.06,-1.9,graded,,50.0,75.0,62.0,55.0
2026-06-09,EXPA,v8b,HOLD,medium,60.8,21,2026-06-09,18.63,2026-07-11,18.74,0.59,7.38,-6.79,graded,,50.0,75.0,62.0,55.0
2026-06-09,CCAP,v8b,HOLD,low,65.0,5,2026-06-09,5.15,2026-06-16,5.12,-0.58,2.06,-2.64,graded,,50.0,62.0,85.0,50.0
2026-06-09,CCAP,v8b,HOLD,low,65.0,21,2026-06-09,5.15,2026-07-11,5.25,1.94,7.38,-5.44,graded,,50.0,62.0,85.0,50.0
2026-06-09,ASCM,w1,WEEKLY_BUY,weekly,25.7,5,2026-06-09,54.95,2026-06-16,58.73,6.88,2.06,4.82,graded,True,,,,
2026-06-09,ASCM,w1,WEEKLY_BUY,weekly,25.7,21,2026-06-09,54.95,2026-07-11,62.21,13.21,7.38,5.83,graded,True,,,,
2026-06-09,EAST,w1,WEEKLY_BUY,weekly,15.64,5,2026-06-09,38.6,2026-06-16,39.0,1.04,2.06,-1.02,graded,False,,,,
2026-06-09,EAST,w1,WEEKLY_BUY,weekly,15.64,21,2026-06-09,38.6,2026-07-11,36.64,-5.08,7.38,-12.46,graded,False,,,,
2026-06-09,JUFO,w1,WEEKLY_BUY,weekly,10.34,5,2026-06-09,29.49,2026-06-16,30.8,4.44,2.06,2.38,graded,True,,,,
2026-06-09,JUFO,w1,WEEKLY_BUY,weekly,10.34,21,2026-06-09,29.49,2026-07-11,30.55,3.59,7.38,-3.79,graded,False,,,,
2026-06-09,EXPA,w1,WEEKLY_BUY,weekly,8.09,5,2026-06-09,18.63,2026-06-16,18.66,0.16,2.06,-1.9,graded,False,,,,
2026-06-09,EXPA,w1,WEEKLY_BUY,weekly,8.09,21,2026-06-09,18.63,2026-07-11,18.74,0.59,7.38,-6.79,graded,False,,,,
2026-06-09,CCAP,w1,WEEKLY_BUY,weekly,7.91,5,2026-06-09,5.15,2026-06-16,5.12,-0.58,2.06,-2.64,graded,False,,,,
2026-06-09,CCAP,w1,WEEKLY_BUY,weekly,7.91,21,2026-06-09,5.15,2026-07-11,5.25,1.94,7.38,-5.44,graded,False,,,,
2026-06-10,ASCM,v8b,HOLD,medium,58.1,5,2026-06-10,56.3,2026-06-17,58.73,4.32,3.22,1.1,graded,,50.0,75.0,57.0,50.0
2026-06-10,ASCM,v8b,HOLD,medium,58.1,21,2026-06-10,56.3,2026-07-12,62.12,10.34,8.1,2.24,graded,,50.0,75.0,57.0,50.0
2026-06-10,JUFO,v8b,HOLD,medium,59.0,5,2026-06-10,29.3,2026-06-17,30.8,5.12,3.22,1.9,graded,,50.0,75.0,57.0,55.0
2026-06-10,JUFO,v8b,HOLD,medium,59.0,21,2026-06-10,29.3,2026-07-12,30.5,4.1,8.1,-4.01,graded,,50.0,75.0,57.0,55.0
2026-06-10,ZMID,v8b,HOLD,medium,60.1,5,2026-06-10,6.05,2026-06-17,6.17,1.98,3.22,-1.23,graded,,50.0,75.0,60.0,55.0
2026-06-10,ZMID,v8b,HOLD,medium,60.1,21,2026-06-10,6.05,2026-07-12,7.26,20.0,8.1,11.9,graded,,50.0,75.0,60.0,55.0
2026-06-10,GBCO,v8b,HOLD,medium,52.7,5,2026-06-10,27.99,2026-06-17,28.33,1.21,3.22,-2.0,graded,,50.0,50.0,55.0,55.0
2026-06-10,GBCO,v8b,HOLD,medium,52.7,21,2026-06-10,27.99,2026-07-12,31.81,13.65,8.1,5.55,graded,,50.0,50.0,55.0,55.0
2026-06-10,MOIL,v8b,HOLD,medium,57.3,5,2026-06-10,0.467,2026-06-17,0.472,1.07,3.22,-2.15,graded,,50.0,75.0,52.0,55.0
2026-06-10,MOIL,v8b,HOLD,medium,57.3,21,2026-06-10,0.467,2026-07-12,0.545,16.7,8.1,8.6,graded,,50.0,75.0,52.0,55.0
2026-06-10,ASCM,w1,WEEKLY_BUY,weekly,19.78,5,2026-06-10,56.3,2026-06-17,58.73,4.32,3.22,1.1,graded,True,,,,
2026-06-10,ASCM,w1,WEEKLY_BUY,weekly,19.78,21,2026-06-10,56.3,2026-07-12,62.12,10.34,8.1,2.24,graded,True,,,,
2026-06-10,JUFO,w1,WEEKLY_BUY,weekly,13.18,5,2026-06-10,29.3,2026-06-17,30.8,5.12,3.22,1.9,graded,True,,,,
2026-06-10,JUFO,w1,WEEKLY_BUY,weekly,13.18,21,2026-06-10,29.3,2026-07-12,30.5,4.1,8.1,-4.01,graded,False,,,,
2026-06-10,ZMID,w1,WEEKLY_BUY,weekly,13.11,5,2026-06-10,6.05,2026-06-17,6.17,1.98,3.22,-1.23,graded,False,,,,
2026-06-10,ZMID,w1,WEEKLY_BUY,weekly,13.11,21,2026-06-10,6.05,2026-07-12,7.26,20.0,8.1,11.9,graded,True,,,,
2026-06-10,GBCO,w1,WEEKLY_BUY,weekly,9.3,5,2026-06-10,27.99,2026-06-17,28.33,1.21,3.22,-2.0,graded,False,,,,
2026-06-10,GBCO,w1,WEEKLY_BUY,weekly,9.3,21,2026-06-10,27.99,2026-07-12,31.81,13.65,8.1,5.55,graded,True,,,,
